TracePro Surface Property Data
File Name	/io/export.brdf.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at 01.01.2020 00:00:00

Name	export
Catalog	brdf_utils
Description
Coating    1
Scatter    5
Interaction    0
Polarization   0
User_Data  1
Solve	BRDF

Temperature	Wavelength	IncAngle	AziAngle	Abso_S	Abso_P	Refl_S	Refl_P	Tran_S	Tran_P	PhaseRefl	PhaseTran	BRDF_A	BRDF_B	BRDF_By	BRDF_g	BRDF_gy	BTDF_A	BTDF_B	BTDF_By	BTDF_g	BTDF_gy
300	0.55	45	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Table_BSDF_Data
Temperature	Wavelength	IncAngle	AziAngle	ScatterBeta	ScatterAzimuth	BRDF	BTDF
300	0.55	45	0	0.1335303	120	0.115756	0	
300	0.55	45	0	0.1335303	130	0.115756	0	
300	0.55	45	0	0.1335303	140	0.115756	0	
300	0.55	45	0	0.1335303	150	0.115756	0	
300	0.55	45	0	0.1335303	160	0.115756	0	
300	0.55	45	0	0.1335303	170	0.115756	0	
300	0.55	45	0	0.1335303	180	0.115756	0	
300	0.55	45	0	0.1335303	190	0.115756	0	
300	0.55	45	0	0.1335303	200	0.115756	0	
300	0.55	45	0	0.1335303	210	0.115756	0	
300	0.55	45	0	0.1335303	220	0.115756	0	
300	0.55	45	0	0.1335303	230	0.115756	0	
300	0.55	45	0	0.1335303	240	0.115756	0	
300	0.55	45	0	0.1335303	250	0.115756	0	
300	0.55	45	0	0.1335303	260	0.115756	0	
300	0.55	45	0	0.1335303	270	0.115756	0	
300	0.55	45	0	0.1335303	280	0.115756	0	
300	0.55	45	0	0.1335303	290	0.115756	0	
300	0.55	45	0	0.1335303	300	0.115756	0	
300	0.55	45	0	0.1335303	310	0.115756	0	
300	0.55	45	0	0.1335303	320	0.115756	0	
300	0.55	45	0	0.1335303	330	0.115756	0	
300	0.55	45	0	0.1335303	340	0.115756	0	
300	0.55	45	0	0.1335303	350	0.115756	0	
300	0.55	45	0	0.0643192	0	0.080932	0	
300	0.55	45	0	0.0643192	10	0.080932	0	
300	0.55	45	0	0.0643192	20	0.080932	0	
300	0.55	45	0	0.0643192	30	0.080932	0	
300	0.55	45	0	0.0643192	40	0.080932	0	
300	0.55	45	0	0.0643192	50	0.080932	0	
300	0.55	45	0	0.0643192	60	0.080932	0	
300	0.55	45	0	0.0643192	70	0.080932	0	
300	0.55	45	0	0.0643192	80	0.080932	0	
300	0.55	45	0	0.0643192	90	0.080932	0	
300	0.55	45	0	0.0643192	100	0.080932	0	
300	0.55	45	0	0.0643192	110	0.080932	0	
300	0.55	45	0	0.0643192	120	0.080932	0	
300	0.55	45	0	0.0643192	130	0.080932	0	
300	0.55	45	0	0.0643192	140	0.080932	0	
300	0.55	45	0	0.0643192	150	0.080932	0	
300	0.55	45	0	0.0643192	160	0.080932	0	
300	0.55	45	0	0.0643192	170	0.080932	0	
300	0.55	45	0	0.0643192	180	0.080932	0	
300	0.55	45	0	0.0643192	190	0.080932	0	
300	0.55	45	0	0.0643192	200	0.080932	0	
300	0.55	45	0	0.0643192	210	0.080932	0	
300	0.55	45	0	0.0643192	220	0.080932	0	
300	0.55	45	0	0.0643192	230	0.080932	0	
300	0.55	45	0	0.0643192	240	0.080932	0	
300	0.55	45	0	0.0643192	250	0.080932	0	
300	0.55	45	0	0.0643192	260	0.080932	0	
300	0.55	45	0	0.0643192	270	0.080932	0	
300	0.55	45	0	0.0643192	280	0.080932	0	
300	0.55	45	0	0.0643192	290	0.080932	0	
300	0.55	45	0	0.0643192	300	0.080932	0	
300	0.55	45	0	0.0643192	310	0.080932	0	
300	0.55	45	0	0.0643192	320	0.080932	0	
300	0.55	45	0	0.0643192	330	0.080932	0	
300	0.55	45	0	0.0643192	340	0.080932	0	
300	0.55	45	0	0.0643192	350	0.080932	0	
300	0.55	45	0	0	0	0.080267	0	
300	0.55	45	0	0	10	0.080267	0	
300	0.55	45	0	0	20	0.080267	0	
300	0.55	45	0	0	30	0.080267	0	
300	0.55	45	0	0	40	0.080267	0	
300	0.55	45	0	0	50	0.080267	0	
300	0.55	45	0	0	60	0.080267	0	
300	0.55	45	0	0	70	0.080267	0	
300	0.55	45	0	0	80	0.080267	0	
300	0.55	45	0	0	90	0.080267	0	
300	0.55	45	0	0	100	0.080267	0	
300	0.55	45	0	0	110	0.080267	0	
300	0.55	45	0	0	120	0.080267	0	
300	0.55	45	0	0	130	0.080267	0	
300	0.55	45	0	0	140	0.080267	0	
300	0.55	45	0	0	150	0.080267	0	
300	0.55	45	0	0	160	0.080267	0	
300	0.55	45	0	0	170	0.080267	0	
300	0.55	45	0	0	180	0.080267	0	
300	0.55	45	0	0	190	0.080267	0	
300	0.55	45	0	0	200	0.080267	0	
300	0.55	45	0	0	210	0.080267	0	
300	0.55	45	0	0	220	0.080267	0	
300	0.55	45	0	0	230	0.080267	0	
300	0.55	45	0	0	240	0.080267	0	
300	0.55	45	0	0	250	0.080267	0	
300	0.55	45	0	0	260	0.080267	0	
300	0.55	45	0	0	270	0.080267	0	
300	0.55	45	0	0	280	0.080267	0	
300	0.55	45	0	0	290	0.080267	0	
300	0.55	45	0	0	300	0.080267	0	
300	0.55	45	0	0	310	0.080267	0	
300	0.55	45	0	0	320	0.080267	0	
300	0.55	45	0	0	330	0.080267	0	
300	0.55	45	0	0	340	0.080267	0	
300	0.55	45	0	0	350	0.080267	0	
300	0.55	45	0	0.0589377	0	0.080059	0	
300	0.55	45	0	0.0589377	10	0.080059	0	
300	0.55	45	0	0.0589377	20	0.080059	0	
300	0.55	45	0	0.0589377	30	0.080059	0	
300	0.55	45	0	0.0589377	40	0.080059	0	
300	0.55	45	0	0.0589377	50	0.080059	0	
300	0.55	45	0	0.0589377	60	0.080059	0	
300	0.55	45	0	0.0589377	70	0.080059	0	
300	0.55	45	0	0.0589377	80	0.080059	0	
300	0.55	45	0	0.0589377	90	0.080059	0	
300	0.55	45	0	0.0589377	100	0.080059	0	
300	0.55	45	0	0.0589377	110	0.080059	0	
300	0.55	45	0	0.0589377	120	0.080059	0	
300	0.55	45	0	0.0589377	130	0.080059	0	
300	0.55	45	0	0.0589377	140	0.080059	0	
300	0.55	45	0	0.0589377	150	0.080059	0	
300	0.55	45	0	0.0589377	160	0.080059	0	
300	0.55	45	0	0.0589377	170	0.080059	0	
300	0.55	45	0	0.0589377	180	0.080059	0	
300	0.55	45	0	0.0589377	190	0.080059	0	
300	0.55	45	0	0.0589377	200	0.080059	0	
300	0.55	45	0	0.0589377	210	0.080059	0	
300	0.55	45	0	0.0589377	220	0.080059	0	
300	0.55	45	0	0.0589377	230	0.080059	0	
300	0.55	45	0	0.0589377	240	0.080059	0	
300	0.55	45	0	0.0589377	250	0.080059	0	
300	0.55	45	0	0.0589377	260	0.080059	0	
300	0.55	45	0	0.0589377	270	0.080059	0	
300	0.55	45	0	0.0589377	280	0.080059	0	
300	0.55	45	0	0.0589377	290	0.080059	0	
